,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
61,1,2,"Ball, Mrs. (Ada E Hall)",female,36.0,0,0,28551,13.0,D,S
62,0,2,"Campbell, Mr. William",male,,0,0,239853,0.0,,S
63,0,1,"Fry, Mr. Richard",male,,0,0,112058,0.0,B102,S
64,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,,S
65,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S
66,0,3,"Coleff, Mr. Satio",male,24.0,0,0,349209,7.4958,,S
67,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,,S
68,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153,22.025,,S
69,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,,Q
70,0,2,"Gillespie, Mr. William Henry",male,34.0,0,0,12233,13.0,,S
71,1,1,"Eustis, Miss. Elizabeth Mussey",female,54.0,1,0,36947,78.2667,D20,C
72,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,1,1,16966,134.5,E34,C
73,0,2,"Abelson, Mr. Samuel",male,30.0,1,0,P/PP 3381,24.0,,C
74,1,3,"Asplund, Master. Edvin Rojj Felix",male,3.0,4,2,347077,31.3875,,S
75,0,3,"Elias, Mr. Dibo",male,,0,0,2674,7.225,,C
76,0,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280,7.925,,S
77,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,,S
78,0,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0,0,0,C.A. 18723,10.5,,S
79,0,3,"Yousif, Mr. Wazli",male,,0,0,2647,7.225,,C
80,0,3,"Pavlovic, Mr. Stefo",male,32.0,0,0,349242,7.8958,,S
81,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q
82,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,,S
83,0,2,"Harris, Mr. Walter",male,30.0,0,0,W/C 14208,10.5,,S
84,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,,S
85,1,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33.0,1,2,C.A. 34651,27.75,,S
86,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,,S
87,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q
88,0,3,"Ilmakangas, Miss. Pieta Sofia",female,25.0,1,0,STON/O2. 3101271,7.925,,S
89,0,1,"Butt, Major. Archibald Willingham",male,45.0,0,0,113050,26.55,B38,S
90,1,1,"Dick, Mr. Albert Adrian",male,31.0,1,0,17474,57.0,B20,S
91,0,1,"Clifford, Mr. George Quincy",male,,0,0,110465,52.0,A14,S
92,0,1,"Lewy, Mr. Ervin G",male,,0,0,PC 17612,27.7208,,C
93,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24.0,0,0,PC 17482,49.5042,C90,C
94,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,,S
95,0,3,"Jonkoff, Mr. Lalio",male,23.0,0,0,349204,7.8958,,S
96,1,2,"Christy, Miss. Julie Rachel",female,25.0,1,1,237789,30.0,,S
97,0,3,"Ford, Mrs. Edward (Margaret Ann Watson)",female,48.0,1,3,W./C. 6608,34.375,,S
98,0,2,"Leyson, Mr. Robert William Norman",male,24.0,0,0,C.A. 29566,10.5,,S
99,0,2,"Hickman, Mr. Lewis",male,32.0,2,0,S.O.C. 14879,73.5,,S
100,0,3,"Larsson, Mr. Bengt Edvin",male,29.0,0,0,347067,7.775,,S
101,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,,S
102,1,2,"Brown, Miss. Amelia ""Mildred""",female,24.0,0,0,248733,13.0,F33,S
103,0,3,"Jensen, Mr. Hans Peder",male,20.0,0,0,350050,7.8542,,S
104,0,3,"Sage, Mr. Douglas Bullen",male,,8,2,CA. 2343,69.55,,S
105,0,1,"Harrison, Mr. William",male,40.0,0,0,112059,0.0,B94,S
106,1,2,"Padro y Manent, Mr. Julian",male,,0,0,SC/PARIS 2146,13.8625,,C
107,0,3,"Boulos, Mr. Hanna",male,,0,0,2664,7.225,,C
108,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C
109,0,1,"Natsch, Mr. Charles H",male,37.0,0,1,PC 17596,29.7,C118,C
110,0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,,S
111,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,0,2,370129,20.2125,,S
112,1,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0,0,19877,78.85,,S
113,1,1,"Marechal, Mr. Pierre",male,,0,0,11774,29.7,C47,C
114,0,3,"Tobin, Mr. Roger",male,,0,0,383121,7.75,F38,Q
115,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,1,0,113789,52.0,,S
116,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,11967,91.0792,B49,C
117,0,3,"Rice, Master. George Hugh",male,8.0,4,1,382652,29.125,,Q
118,1,3,"Turkula, Mrs. (Hedwig)",female,63.0,0,0,4134,9.5875,,S
119,0,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764,30.6958,A7,C
120,0,1,"Douglas, Mr. Walter Donald",male,50.0,1,0,PC 17761,106.425,C86,C
121,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S
122,0,3,"Gheorgheff, Mr. Stanio",male,,0,0,349254,7.8958,,C
123,0,3,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,,S
124,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,,S
125,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44.0,0,1,111361,57.9792,B18,C
126,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,,S
127,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C
128,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,0,1,250644,19.5,,S
129,0,2,"Butler, Mr. Reginald Fenton",male,25.0,0,0,234686,13.0,,S
130,1,3,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,370370,7.75,,Q
131,0,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28.0,1,1,347080,14.4,,S
132,1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17.0,1,0,17474,57.0,B20,S
133,1,3,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15.0,1,0,2659,14.4542,,C
134,0,2,"Collyer, Mr. Harvey",male,31.0,1,1,C.A. 31921,26.25,,S
135,0,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50.0,A32,S
136,0,3,"Stankovic, Mr. Ivan",male,33.0,0,0,349239,8.6625,,C
137,0,3,"Holm, Mr. John Fredrik Alexander",male,43.0,0,0,C 7075,6.45,,S
138,0,3,"Mangan, Miss. Mary",female,30.5,0,0,364850,7.75,,Q
139,0,1,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,1,0,PC 17758,108.9,C65,C
140,0,3,"Gustafsson, Mr. Alfred Ossian",male,20.0,0,0,7534,9.8458,,S
141,0,3,"Cacic, Mr. Luka",male,38.0,0,0,315089,8.6625,,S
142,1,3,"Murphy, Miss. Margaret Jane",female,,1,0,367230,15.5,,Q
143,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,D47,S
144,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0,386525,16.1,,S
145,0,3,"Barbara, Miss. Saiide",female,18.0,0,1,2691,14.4542,,C
146,0,2,"Moraweck, Dr. Ernest",male,54.0,0,0,29011,14.0,,S
147,0,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,10.4625,G6,S
148,0,3,"Johnston, Mr. Andrew G",male,,1,2,W./C. 6607,23.45,,S
149,1,1,"Graham, Miss. Margaret Edith",female,19.0,0,0,112053,30.0,B42,S
150,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,,C
151,1,1,"Cherry, Miss. Gladys",female,30.0,0,0,110152,86.5,B77,S
152,1,1,"Cleaver, Miss. Alice",female,22.0,0,0,113781,151.55,,S
153,0,1,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,113784,35.5,T,S
154,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,,S
155,0,3,"Toufik, Mr. Nakli",male,,0,0,2641,7.2292,,C
156,0,3,"Farrell, Mr. James",male,40.5,0,0,367232,7.75,,Q
157,0,3,"Razi, Mr. Raihed",male,,0,0,2629,7.2292,,C
158,0,3,"Cacic, Miss. Marija",female,30.0,0,0,315084,8.6625,,S
159,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C
160,0,3,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,26.0,1,0,A/5. 3336,16.1,,S
161,1,3,"Nilsson, Miss. Helmina Josefina",female,26.0,0,0,347470,7.8542,,S
162,1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,54.0,1,0,PC 17603,59.4,,C
163,1,3,"Thomas, Master. Assad Alexander",male,0.42,0,1,2625,8.5167,,C
164,1,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28.0,1,0,2003,26.0,,S
165,0,3,"Denkoff, Mr. Mitto",male,,0,0,349225,7.8958,,S
166,1,1,"Longley, Miss. Gretchen Fiske",female,21.0,0,0,13502,77.9583,D9,S
167,0,3,"Charters, Mr. David",male,21.0,0,0,A/5. 13032,7.7333,,Q
168,0,3,"Coleff, Mr. Peju",male,36.0,0,0,349210,7.4958,,S
169,1,1,"Fortune, Miss. Alice Elizabeth",female,24.0,3,2,19950,263.0,C23 C25 C27,S
170,0,3,"Jensen, Mr. Niels Peder",male,48.0,0,0,350047,7.8542,,S
171,1,3,"Nakid, Miss. Maria (""Mary"")",female,1.0,0,2,2653,15.7417,,C
172,1,1,"Goldenberg, Mr. Samuel L",male,49.0,1,0,17453,89.1042,C92,C
173,1,1,"Bishop, Mr. Dickinson H",male,25.0,1,0,11967,91.0792,B49,C
174,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,,S
175,1,3,"Emanuel, Miss. Virginia Ethel",female,5.0,0,0,364516,12.475,,S
176,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S
177,1,1,"Kenyon, Mrs. Frederick R (Marion)",female,,1,0,17464,51.8625,D21,S
178,0,3,"Ibrahim Shawah, Mr. Yousseff",male,30.0,0,0,2685,7.2292,,C
179,1,2,"Quick, Miss. Phyllis May",female,2.0,1,1,26360,26.0,,S
180,0,2,"Banfield, Mr. Frederick James",male,28.0,0,0,C.A./SOTON 34068,10.5,,S
181,1,3,"McCormack, Mr. Thomas Joseph",male,,0,0,367228,7.75,,Q
182,0,3,"Peduzzi, Mr. Joseph",male,,0,0,A/5 2817,8.05,,S
183,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C
184,1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,,0,0,111427,26.55,,S
185,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,1,0,11755,39.6,A16,C
186,0,3,"Culumovic, Mr. Jeso",male,17.0,0,0,315090,8.6625,,S
187,0,2,"Mallet, Mr. Albert",male,31.0,1,1,S.C./PARIS 2079,37.0042,,C
188,1,2,"Smith, Miss. Marion Elsie",female,40.0,0,0,31418,13.0,,S
189,0,1,"Graham, Mr. George Edward",male,38.0,0,1,PC 17582,153.4625,C91,S
190,1,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,13502,77.9583,D7,S
191,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S
192,1,1,"Carter, Master. William Thornton II",male,11.0,1,2,113760,120.0,B96 B98,S
193,0,1,"Wright, Mr. George",male,62.0,0,0,113807,26.55,,S
194,0,3,"Elias, Mr. Joseph Jr",male,17.0,1,1,2690,7.2292,,C
195,0,3,"Johansson, Mr. Erik",male,22.0,0,0,350052,7.7958,,S
196,0,3,"Rosblom, Mr. Viktor Richard",male,18.0,1,1,370129,20.2125,,S
197,1,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,16966,134.5,E40,C
198,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,,S
199,1,3,"Najib, Miss. Adele Kiamie ""Jane""",female,15.0,0,0,2667,7.225,,C
200,1,3,"Lindqvist, Mr. Eino William",male,20.0,1,0,STON/O 2. 3101285,7.925,,S
201,0,2,"Parkes, Mr. Francis ""Frank""",male,,0,0,239853,0.0,,S
202,0,3,"Panula, Mr. Ernesti Arvid",male,16.0,4,1,3101295,39.6875,,S
203,0,3,"Mernagh, Mr. Robert",male,,0,0,368703,7.75,,Q
204,1,3,"Stranden, Mr. Juho",male,31.0,0,0,STON/O 2. 3101288,7.925,,S
205,1,3,"McGovern, Miss. Mary",female,,0,0,330931,7.8792,,Q
206,0,1,"Cairns, Mr. Alexander",male,,0,0,113798,31.0,,S
207,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S
208,0,3,"Oreskovic, Mr. Luka",male,20.0,0,0,315094,8.6625,,S
209,0,3,"Lefebre, Master. Henry Forbes",male,,3,1,4133,25.4667,,S
210,0,2,"Gavey, Mr. Lawrence",male,26.0,0,0,31028,10.5,,S
211,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,,S
212,1,2,"Reynaldo, Ms. Encarnacion",female,28.0,0,0,230434,13.0,,S
213,1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,45.0,1,1,36928,164.8667,,S
214,1,2,"Quick, Mrs. Frederick Charles (Jane Richards)",female,33.0,0,2,26360,26.0,,S
215,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428,26.55,,S
216,0,2,"Troupiansky, Mr. Moses Aaron",male,23.0,0,0,233639,13.0,,S
217,1,3,"Pickard, Mr. Berk (Berk Trembisky)",male,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,S
218,0,1,"Andrews, Mr. Thomas Jr",male,39.0,0,0,112050,0.0,A36,S
219,0,3,"Elsbury, Mr. William James",male,47.0,0,0,A/5 3902,7.25,,S
220,0,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,,S
221,0,2,"Chapman, Mr. Charles Henry",male,52.0,0,0,248731,13.5,,S
222,0,3,"Petroff, Mr. Nedelio",male,19.0,0,0,349212,7.8958,,S
223,0,3,"O'Sullivan, Miss. Bridget Mary",female,,0,0,330909,7.6292,,Q
224,0,3,"Andersson, Miss. Sigrid Elisabeth",female,11.0,4,2,347082,31.275,,S
225,1,1,"Harper, Mr. Henry Sleeper",male,48.0,1,0,PC 17572,76.7292,D33,C
226,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,,S
227,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S
228,1,1,"Chambers, Mr. Norman Campbell",male,27.0,1,0,113806,53.1,E8,S
229,0,3,"Goldsmith, Mr. Frank John",male,33.0,1,1,363291,20.525,,S
230,0,3,"Yousseff, Mr. Gerious",male,,0,0,2627,14.4583,,C
231,0,3,"Smith, Mr. Thomas",male,,0,0,384461,7.75,,Q
232,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,,S
233,0,3,"Jussila, Miss. Mari Aina",female,21.0,1,0,4137,9.825,,S
234,1,3,"Dahl, Mr. Karl Edwart",male,45.0,0,0,7598,8.05,,S
235,0,3,"Webber, Mr. James",male,,0,0,SOTON/OQ 3101316,8.05,,S
236,0,2,"Slemen, Mr. Richard James",male,35.0,0,0,28206,10.5,,S
237,0,3,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264,6.4958,,S
238,0,3,"Adams, Mr. John",male,26.0,0,0,341826,8.05,,S
239,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q
240,1,1,"Bazzani, Miss. Albina",female,32.0,0,0,11813,76.2917,D15,C
241,1,1,"LeRoy, Miss. Bertha",female,30.0,0,0,PC 17761,106.425,,C
242,0,2,"Gale, Mr. Shadrach",male,34.0,1,0,28664,21.0,,S
243,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,E101,S
244,1,1,"Stone, Mrs. George Nelson (Martha Evelyn)",female,62.0,0,0,113572,80.0,B28,
245,0,2,"West, Mr. Edwy Arthur",male,36.0,1,2,C.A. 34651,27.75,,S
246,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,,S
247,1,3,"Jalsevac, Mr. Ivan",male,29.0,0,0,349240,7.8958,,C
248,0,3,"Berglund, Mr. Karl Ivar Sven",male,22.0,0,0,PP 4348,9.35,,S
249,0,3,"Barbara, Mrs. (Catherine David)",female,45.0,0,1,2691,14.4542,,C
250,1,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F2,S
251,1,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,,1,0,376564,16.1,,S
252,0,1,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595,28.7125,C49,C
253,0,2,"Pain, Dr. Alfred",male,23.0,0,0,244278,10.5,,S
254,0,3,"Badt, Mr. Mohamed",male,40.0,0,0,2623,7.225,,C
255,1,2,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,30.0,3,0,31027,21.0,,S
256,1,1,"McGough, Mr. James Robert",male,36.0,0,0,PC 17473,26.2875,E25,S
257,0,3,"Rush, Mr. Alfred George John",male,16.0,0,0,A/4. 20589,8.05,,S
258,0,3,"Elias, Mr. Tannous",male,15.0,1,1,2695,7.2292,,C
259,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046,7.8542,,S
260,1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43.0,0,1,24160,211.3375,B3,S
261,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,,S
262,0,3,"de Pelsmaeker, Mr. Alfons",male,16.0,0,0,345778,9.5,,S
263,0,3,"Nirva, Mr. Iisakki Antino Aijo",male,41.0,0,0,SOTON/O2 3101272,7.125,,S
264,0,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q
265,0,1,"Davidson, Mr. Thornton",male,31.0,1,0,F.C. 12750,52.0,B71,S
266,1,1,"Thayer, Mr. John Borland Jr",male,17.0,0,2,17421,110.8833,C70,C
267,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C
268,0,3,"Panula, Mr. Jaako Arnold",male,14.0,4,1,3101295,39.6875,,S
269,1,1,"Hays, Miss. Margaret Bechstein",female,24.0,0,0,11767,83.1583,C54,C
270,1,3,"Johannesen-Bratthammer, Mr. Bernt",male,,0,0,65306,8.1125,,S
271,0,3,"Karlsson, Mr. Nils August",male,22.0,0,0,350060,7.5208,,S
272,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B58 B60,C
273,0,3,"Fischer, Mr. Eberhard Thelander",male,18.0,0,0,350036,7.7958,,S
274,0,3,"Kallio, Mr. Nikolai Erland",male,17.0,0,0,STON/O 2. 3101274,7.125,,S
275,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,,S
276,0,3,"Hagland, Mr. Konrad Mathias Reiersen",male,,1,0,65304,19.9667,,S
277,0,3,"Lester, Mr. James",male,39.0,0,0,A/4 48871,24.15,,S
278,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,,C
279,0,3,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",male,18.0,0,0,347078,7.75,,S
280,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D26,S
281,0,2,"del Carlo, Mr. Sebastiano",male,29.0,1,0,SC/PARIS 2167,27.7208,,C
282,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,,S
283,1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,39.0,1,1,110413,79.65,E67,S
284,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,,S
285,1,2,"Hamalainen, Mrs. William (Anna)",female,24.0,0,2,250649,14.5,,S
286,1,1,"Hippach, Miss. Jean Gertrude",female,16.0,0,1,111361,57.9792,B18,C
287,0,3,"Somerton, Mr. Francis William",male,30.0,0,0,A.5. 18509,8.05,,S
288,1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24.0,0,2,PP 9549,16.7,G6,S
289,1,2,"Silven, Miss. Lyyli Karoliina",female,18.0,0,2,250652,13.0,,S
290,0,3,"Stanley, Mr. Edward Roland",male,21.0,0,0,A/4 45380,8.05,,S
291,1,3,"Tornquist, Mr. William Henry",male,25.0,0,0,LINE,0.0,,S
292,0,3,"Svensson, Mr. Johan",male,74.0,0,0,347060,7.775,,S
293,0,3,"Andersson, Master. Sigvard Harald Elias",male,4.0,4,2,347082,31.275,,S
294,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C
295,1,3,"Coutts, Master. Eden Leslie ""Neville""",male,9.0,1,1,C.A. 37671,15.9,,S
296,0,3,"Radeff, Mr. Alexander",male,,0,0,349223,7.8958,,S
